trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
276,False,"{'a': 0.6, 'e': 0.5769498103804866}",20,1,-37.19891556959414,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 0}",1
277,False,"{'a': 0.6, 'e': 0.5757970638904645}",20,0,-130.19615830962633,"{0: 11, 1: 4, 2: 1, 3: 2, 4: 2}",0
278,False,"{'a': 0.6, 'e': 0.5746466205894657}",30,0,-146.27007535180877,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
279,False,"{'a': 0.6, 'e': 0.5734984758757153}",25,9,-45.47987430540667,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
280,False,"{'a': 0.6, 'e': 0.5723526251566332}",25,9,-43.58745844290439,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
281,False,"{'a': 0.6, 'e': 0.5712090638488149}",25,0,-73.0791266515355,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
282,False,"{'a': 0.6, 'e': 0.5700677873780134}",25,0,-39.03706706199094,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
283,False,"{'a': 0.6, 'e': 0.5689287911791218}",25,15,5.202525996640439,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.6, 'e': 0.5677920706961532}",20,6,-25.43515028241683,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
285,False,"{'a': 0.6, 'e': 0.5666576213822246}",20,15,2.2840237462252837,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.6, 'e': 0.5655254386995371}",25,0,-40.586528718586635,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
287,False,"{'a': 0.6, 'e': 0.5643955181193583}",20,0,-87.46681340090788,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
288,False,"{'a': 0.6, 'e': 0.5632678551220046}",20,7,-44.31166112750369,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
289,False,"{'a': 0.6, 'e': 0.5621424451968224}",25,5,-0.4484212670267613,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
290,False,"{'a': 0.6, 'e': 0.5610192838421706}",30,12,-16.530707679993046,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 0}",1
291,False,"{'a': 0.6, 'e': 0.559898366565402}",20,0,-26.88430934699857,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
292,False,"{'a': 0.6, 'e': 0.5587796888828463}",20,6,-45.127107357106865,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
293,False,"{'a': 0.6, 'e': 0.5576632463197913}",20,14,9.086864751667889,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.6, 'e': 0.5565490344104649}",25,0,-63.01618022226629,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
295,False,"{'a': 0.6, 'e': 0.5554370486980182}",35,6,-94.6099166938398,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 2}",1
296,False,"{'a': 0.6, 'e': 0.5543272847345071}",20,4,-83.57062472942134,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 1}",1
297,False,"{'a': 0.6, 'e': 0.5532197380808739}",20,5,-59.00077724636315,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
